Time,Irradiance [W/m2]
0:00,0.00E+00
0:15,0.00E+00
0:30,0.00E+00
0:45,0.00E+00
1:00,0.00E+00
1:15,0.00E+00
1:30,0.00E+00
1:45,0.00E+00
2:00,0.00E+00
2:15,0.00E+00
2:30,0.00E+00
2:45,0.00E+00
3:00,0.00E+00
3:15,0.00E+00
3:30,0.00E+00
3:45,0.00E+00
4:00,0.00E+00
4:15,0.00E+00
4:30,0.00E+00
4:45,0.00E+00
5:00,0.00E+00
5:15,0.00E+00
5:30,0.00E+00
5:45,1.91E-01
6:00,1.52E+00
6:15,5.08E+00
6:30,1.19E+01
6:45,2.29E+01
7:00,3.88E+01
7:15,6.03E+01
7:30,8.77E+01
7:45,1.21E+02
8:00,1.61E+02
8:15,2.07E+02
8:30,2.58E+02
8:45,3.13E+02
9:00,3.73E+02
9:15,4.36E+02
9:30,5.01E+02
9:45,5.66E+02
10:00,6.30E+02
10:15,6.92E+02
10:30,7.51E+02
10:45,8.05E+02
11:00,8.53E+02
11:15,8.94E+02
11:30,9.26E+02
11:45,9.50E+02
12:00,9.65E+02
12:15,9.70E+02
12:30,9.65E+02
12:45,9.50E+02
13:00,9.26E+02
13:15,8.94E+02
13:30,8.53E+02
13:45,8.05E+02
14:00,7.51E+02
14:15,6.92E+02
14:30,6.30E+02
14:45,5.66E+02
15:00,5.01E+02
15:15,4.36E+02
15:30,3.73E+02
15:45,3.13E+02
16:00,2.58E+02
16:15,2.07E+02
16:30,1.61E+02
16:45,1.21E+02
17:00,8.77E+01
17:15,6.03E+01
17:30,3.88E+01
17:45,2.29E+01
18:00,1.19E+01
18:15,5.08E+00
18:30,1.52E+00
18:45,1.91E-01
19:00,0.00E+00
19:15,0.00E+00
19:30,0.00E+00
19:45,0.00E+00
20:00,0.00E+00
20:15,0.00E+00
20:30,0.00E+00
20:45,0.00E+00
21:00,0.00E+00
21:15,0.00E+00
21:30,0.00E+00
21:45,0.00E+00
22:00,0.00E+00
22:15,0.00E+00
22:30,0.00E+00
22:45,0.00E+00
23:00,0.00E+00
23:15,0.00E+00
23:30,0.00E+00
23:45,0.00E+00
